sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,4,500000,-1.898944633641474e-15,0.6000399999999997,0.13720290902350654,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,10,500000,0.5984781649852043,0.524945,0.15742349513642181,0.1,1.0,-0.6666666666666667
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,6,500000,0.843169216950277,0.5999329999999999,0.15088535368378125,0.1,1.0,0.33333333333333326
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,1,500000,0.8107487703586295,0.69996,0.14895748681855595,0.3,1.1,0.5714285714285714
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,15,500000,0.621951904078328,0.2995909999999999,0.22211796523607208,0.1,0.8,0.33333333333333326
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,9,500000,1.4337345383705165e-05,0.10003900000000002,0.18096843221537842,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.4,split,,4,500000,4.333434760250586e-05,0.10022500000000004,0.18097035075698795,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,9,500000,0.7442152624999391,0.6998289999999999,0.14892031824831936,0.4,1.0,0.4285714285714285
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,9,500000,0.5852647353346757,0.6570339999999999,0.15594557367957318,0.1,1.0,-1.9629629629629635
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,12,500000,0.43554971927274755,0.35007399999999994,0.1744629122846231,0.1,0.8,0.6666666666666666
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,18,500000,0.8607673002339444,0.5999449999999997,0.164628444522482,0.1,1.0,0.6666666666666666
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,2,500000,0.4191696855233623,0.44996200000000003,0.17300609060298525,0.1,0.8,0.7647058823529412
